ComponetID,s 1,s 3,s 5,s 7,s 9,s11,s13,s15,s17,s19,s 2,s 4,s 6,s 8,s10,s12,s14,s16,s18,s20
v3876,101081,22880,95423,39123,0,89098,84280,0,0,27747,110024,72988,64887,247245,139380,164370,104710,116268,0,180075
v3888,0,0,31856,0,19652,0,0,38421,14363,11797,0,10854,0,0,0,0,0,0,87076,0
v3932,12646,0,8732,0,0,7966,12744,0,5756,0,0,13967,0,28577,0,0,17131,0,0,19293
v3956,73695,13357,43837,34085,37699,38707,140207,0,0,4968,17332,43864,73615,199307,63783,77999,89422,60920,0,62110
v3962,196421,32295,234041,0,459611,159844,1473269,3403383,2532963,57128,141568,176900,577342,0,208477,361173,0,204901,2442874,314643
v3966,22329,0,20951,6157,127324,14472,0,0,0,0,23469,6328,105071,42481,22608,77189,16995,29662,663956,38354
v4056,14920,5914,34204,13104,14814,25377,39306,13784,15339,0,24211,21318,33482,66088,36497,42110,42662,0,91569,53445
v4068,10742,0,0,0,0,1873,0,0,0,0,15744,0,4497,0,1679,0,0,0,0,3268
v4111,350459,134542,249542,323105,660420,360780,267088,404164,150984,228909,549399,377603,317410,259872,265652,460664,198000,246759,175145,185606
v4155,0,0,0,0,10175,0,8891,13235,9975,0,0,3778,0,6226,5849,2405,0,0,6688,4344
v4158,2274,0,2626,0,0,2604,0,0,5892,0,1277,978,0,4325,1975,0,0,0,0,1862
v4208,234583,80074,295142,69671,236298,240079,323674,320698,300279,198070,238034,237745,261686,358497,276265,271942,170780,222781,332796,107120
v4256,27582,17880,36782,13921,48080,51924,54289,196117,13094,57349,12653,44694,57771,236913,36132,55138,10479,27704,478665,88552
v4381,0,26905,49815,38818,60305,61171,21522,52255,41398,38938,0,22952,27802,24016,0,40198,26613,27076,40848,46507
v4391,55345,11819,36206,0,25205,30733,68529,26343,0,0,0,14749,51928,74011,0,27172,15848,16736,24808,27064
v4430,194885,31555,169915,300933,378131,249699,0,68170,0,171141,134048,206947,0,0,203573,134912,0,21551,0,0
v4436,0,145220,0,0,0,128897,177207,157983,117945,0,219889,0,94113,124746,0,195432,80498,103442,72265,74616
v4464,0,0,0,12178,23384,0,0,0,0,5140,22271,7950,0,0,0,0,0,0,0,0
v4471,98573,41236,52165,139555,224877,116037,94129,98873,47257,52611,170478,95494,54047,55586,52523,86101,34035,60718,25283,18126
v4508,0,0,3077,0,9555,4936,0,0,0,4005,9433,5915,3569,605,0,287,0,0,0,0
v4510,8327,3098,0,7067,0,0,0,6992,0,0,11335,0,0,9287,4825,11656,0,1336,5873,7865
v4539,85371,48366,98656,55210,173782,106031,101220,96509,38468,70636,89029,75848,48691,61081,65753,120128,71414,47581,75671,70804
v4568,0,0,1123,0,3153,0,1426,269,0,0,1963,0,1982,0,0,0,0,0,495,0
v4571,5953,1107,0,0,9920,0,4880,0,0,3681,0,11255,1505,0,1659,12164,3879,2444,1891,0
v4589,0,13096,26304,28919,36703,0,0,48848,13383,49544,47036,40014,24041,48663,53832,55568,24964,35493,0,0
v4593,20446,11355,24859,13114,0,34082,33342,0,19985,0,0,0,12415,0,0,0,0,0,19068,24366
v4622,2007,0,0,0,2203,0,2659,0,0,0,0,0,0,0,4286,0,2723,2579,0,3196
v4633,3838,6862,12924,10777,20743,0,8349,0,10637,12681,8371,6126,0,9104,3065,8274,2390,2001,7967,8192
v4652,0,0,7294,0,0,4259,2562,10885,0,0,4412,6898,5550,0,6218,10717,0,7783,16268,12464
v4670,69692,72135,71899,73803,85717,77326,87755,70140,73228,82716,70702,77219,80307,62960,50430,44891,68229,84156,59555,77812
v4678,6824,4896,6271,1903,4635,8258,14630,10729,8135,2348,6109,4509,10252,6126,10251,9066,0,14480,6836,16253
v4681,6290,6809,14066,15710,18872,17330,12977,14672,10424,15216,21755,0,0,7033,9750,0,0,11384,7073,0
v4686,10069,0,0,18619,31384,19340,4530,18686,6117,0,0,11110,0,21295,7896,12346,0,7583,8190,6301
v4690,5827,5810,11784,0,0,0,5364,0,9251,10270,17396,0,10209,0,8112,17212,4556,0,7924,12854
v4700,0,0,2572,1450,0,4103,0,0,0,2769,7959,2167,1481,3224,0,7352,1028,0,0,1763
v4711,168228,143683,162778,160915,128767,324707,319847,361370,180628,136620,93623,149412,330329,101185,365456,334383,175049,331019,171817,363267
v4762,10179,7378,6003,8358,7390,21486,24798,22935,13730,6075,10711,0,34509,5886,31367,29033,13411,18822,8293,22646
v4779,189013,115520,147683,161317,172217,354677,426314,411819,195176,126239,146804,125306,430853,169316,366144,336058,167548,401814,196215,433943
v4816,0,0,2256,0,1613,0,1197,1513,0,1572,3067,0,0,0,2296,2018,0,0,946,1126
v4821,0,0,9181,3429,10970,1696,8133,0,0,4630,9305,5442,5366,14796,8755,3023,6035,0,0,1016
v4888,48345,125184,139848,203533,853223,247335,69474,75206,168838,242081,88250,43726,77944,90068,70084,67102,20239,49447,87627,123356
